# SYMBOL | FIRST SET | FOLLOW SET | NULLABLE | ENDABLE | #
<program> | ENDL INTEGER | | no | yes |
<andExp2> | AND | OR STEP ; TO ENDL THEN , ) | yes | no |
<expoExp2> | ^ | + - <> = < > <= >= * / % OR STEP ; TO ENDL THEN , ) AND | yes | no |
<expr_list2> | , ; | ENDL | yes | no |
<forinit> | FOR | STEP ENDL | no | no |
<forstep> | STEP ENDL | ENDL INTEGER | no | no |
<num_list2> | , | ENDL | yes | no |
<forblock> | FOR | ENDL INTEGER | no | no |
<numerated_for> | NEXT ENDL LET PRINT READ DATA GOTO IF GOSUB RETURN DEF DIM STOP FOR | ENDL INTEGER | no | no |
<fornext> | NEXT | ENDL | no | no |
<forbody> | ENDL INTEGER | ENDL INTEGER | no | no |
<numerated_main> | END ENDL LET PRINT READ DATA GOTO IF GOSUB RETURN DEF DIM STOP FOR | | no | yes |
<numerated_block> | ENDL LET PRINT READ DATA GOTO IF GOSUB RETURN DEF DIM STOP FOR | ENDL INTEGER | no | no |
<blocks> | ENDL INTEGER | | no | yes |
<orExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | STEP ; TO ENDL THEN , ) | no | no |
<andExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | OR STEP ; TO ENDL THEN , ) | no | no |
<orExp2> | OR | STEP ; TO ENDL THEN , ) | yes | no |
<expoExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | + - <> = < > <= >= * / % OR STEP ; TO ENDL THEN , ) AND | no | no |
<prodExp2> | * / % | + - <> = < > <= >= OR STEP ; TO ENDL THEN , ) AND | yes | no |
<relExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | OR STEP ; TO ENDL THEN , ) AND | no | no |
<relExp2> | <> = < > <= >= | OR STEP ; TO ENDL THEN , ) AND | yes | no |
<relOp> | <> = < > <= >= | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | no | no |
<stmt> | LET PRINT READ DATA GOTO IF GOSUB RETURN DEF DIM STOP | ENDL | no | no |
<expr_list> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | ENDL | no | no |
<num_list> | INTEGER FLOAT | ENDL | no | no |
<sumExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | <> = < > <= >= OR STEP ; TO ENDL THEN , ) AND | no | no |
<prodExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | + - <> = < > <= >= OR STEP ; TO ENDL THEN , ) AND | no | no |
<sumExp2> | + - | <> = < > <= >= OR STEP ; TO ENDL THEN , ) AND | yes | no |
<unaryExp> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | + - <> = < > <= >= * / % OR STEP ; TO ENDL THEN , ) ^ AND | no | no |
<native_function> | ABS ATN COS EXP INT LOG RND SIN SQR TAN | ( | no | no |
<unaryOp> | - + NOT | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | no | no |
<expr> | INTEGER FLOAT STRING CHAR BOOLEAN ( FUNCTION VARIABLE - + NOT ABS ATN COS EXP INT LOG RND SIN SQR TAN | STEP ; TO ENDL THEN , ) | no | no |
<idx2> | , | ) | yes | no |
<variable2> | ( | + - <> < > <= >= * / % OR = STEP ; TO ENDL THEN , ) ^ AND | yes | no |
<variable_list> | VARIABLE | ENDL | no | no |
<var> | VARIABLE | + - <> < > <= >= * / % OR = STEP ; TO ENDL THEN , ) ^ AND | no | no |
<variable_list2> | , | ENDL | yes | no |
